- vncls_none
abandon.01 vncls_51
abase.01 vncls_45
abash.01 vncls_31
abate.01 vncls_45
abbreviate.01 vncls_45
abdicate.01 vncls_10
abduct.01 vncls_10
abet.01 vncls_72
abhor.01 vncls_31
abolish.01 vncls_10
abound.01 vncls_47
abrade.01 vncls_45
abridge.01 vncls_45
absolve.01 vncls_80
abstain.01 vncls_69
abstract.01 vncls_10
abuse.01 vncls_33
abut.01 vncls_47
accede.01 vncls_95
accelerate.01 vncls_45
accept.01 vncls_13
acclaim.01 vncls_33
accommodate.01 vncls_26
accompany.01 vncls_51
accomplish.01 vncls_55
accrue.01 vncls_13
accumulate.01 vncls_13
accurse.01 vncls_33
accuse.01 vncls_81
acetify.01 vncls_45
ache.01 vncls_40
achieve.01 vncls_55
acidify.01 vncls_45
acknowledge.01 vncls_37
acquaint.01 vncls_37
acquiesce.01 vncls_95
acquire.01 vncls_13
acquit.01 vncls_80
act.01 vncls_29
activate.01 vncls_45
adapt.01 vncls_26
add.01 vncls_37
addict.01 vncls_96
address.01 vncls_25
adhere.01 vncls_22
adjoin.01 vncls_47
adjust.01 vncls_26
administer.01 vncls_13
admire.01 vncls_31
admit.01 vncls_29
admix.01 vncls_22
admonish.01 vncls_37
adopt.01 vncls_29
adore.01 vncls_31
adorn.01 vncls_9
advance.01 vncls_45
advert.01 vncls_26
advertise.01 vncls_35
advise.01 vncls_37
affect.01 vncls_31
affiliate.01 vncls_22
affirm.01 vncls_31
afflict.01 vncls_31
affront.01 vncls_31
africanize.01 vncls_45
age.01 vncls_45
agglomerate.01 vncls_45
aggravate.01 vncls_31
aggregate.01 vncls_47
aggrieve.01 vncls_31
agitate.01 vncls_31
agonize.01 vncls_31
agree.01 vncls_36
aid.01 vncls_72
ail.01 vncls_40
aim.01 vncls_62
air.01 vncls_45
airmail.01 vncls_11
alarm.01 vncls_31
alert.01 vncls_37
alienate.01 vncls_31
alkalify.01 vncls_45
allege.01 vncls_37
alleviate.01 vncls_80
allocate.01 vncls_13
allot.01 vncls_13
allow.01 vncls_65
allure.01 vncls_59
ally.01 vncls_71
alter.01 vncls_26
alternate.01 vncls_22
amalgamate.01 vncls_22
amass.01 vncls_47
amaze.01 vncls_31
amble.01 vncls_51
ambulate.01 vncls_51
ameliorate.01 vncls_45
americanize.01 vncls_45
amplify.01 vncls_45
amuse.01 vncls_31
analyze.01 vncls_34
anchor.01 vncls_22
anesthetize.01 vncls_45
anger.01 vncls_31
angle.01 vncls_47
anglicize.01 vncls_45
anguish.01 vncls_31
animate.01 vncls_45
annex.01 vncls_10
annihilate.01 vncls_44
annotate.01 vncls_25
announce.01 vncls_37
annoy.01 vncls_31
